partner_id,name,phone,vehicle_type,rating,num_deliveries,city,team_lead_id,is_active,license_number
PARTNER0001,Daniel Dixon,555-4190514,Car,4.6,284,Chicago,PARTNER0087,False,LIC7922227
PARTNER0002,Jennifer Young,555-3263253,Van,1.9,446,Phoenix,PARTNER0428,False,LIC6124003
PARTNER0003,Cindy Guerrero,555-9827323,Car,4.3,286,Phoenix,PARTNER0274,False,LIC5059660
PARTNER0004,Samantha Allen,555-2967596,Car,3.6,519,New York,PARTNER0049,True,LIC3387617
PARTNER0005,Michael Ross,555-1620910,Car,1.7,220,New York,PARTNER0426,False,LIC2357966
PARTNER0006,Susan Davis,555-9055722,Car,3.3,817,Houston,PARTNER0340,False,LIC7655912
PARTNER0007,Paul Johnson,555-8995789,Car,3.8,711,New York,PARTNER0203,False,LIC3100791
PARTNER0008,Brandon Barr,555-8810944,Van,1.2,622,Chicago,PARTNER0230,True,LIC9708045
PARTNER0009,Angel Bruce,555-1851504,Bike,1.4,474,Phoenix,PARTNER0426,False,LIC1388720
PARTNER0010,Lynn Howell,555-7608305,Bike,1.6,859,Houston,PARTNER0320,True,LIC2856570
PARTNER0011,Jeffrey Navarro,555-3870237,Bike,1.2,170,Phoenix,PARTNER0085,True,LIC6832900
PARTNER0012,Mark Ferguson,555-8393701,Car,3.3,934,Houston,PARTNER0062,True,LIC2044085
PARTNER0013,Janet Perry,555-1266945,Bike,3.4,910,New York,PARTNER0029,True,LIC3877468
PARTNER0014,Micheal Guerrero,555-3368701,Van,1.8,260,Los Angeles,PARTNER0192,False,LIC6823048
PARTNER0015,Bryan Wheeler,555-2203382,Bike,3.4,826,New York,PARTNER0243,False,LIC1399243
PARTNER0016,Howard Cole,555-5291189,Car,2.9,496,New York,PARTNER0240,True,LIC4833289
PARTNER0017,Margaret Green,555-9757341,Car,3.9,451,Chicago,PARTNER0359,False,LIC4599089
PARTNER0018,Heather Taylor,555-6979400,Car,1.4,456,Los Angeles,PARTNER0452,False,LIC5974541
PARTNER0019,Maria Palmer,555-2455436,Bike,3.5,403,Houston,PARTNER0321,False,LIC9194229
PARTNER0020,Jennifer Lambert,555-4657825,Car,3.6,249,Phoenix,PARTNER0161,False,LIC5049133
PARTNER0021,Samantha Raymond,555-1986484,Van,1.1,501,Phoenix,PARTNER0287,True,LIC7212463
PARTNER0022,Joseph Cooper,555-2760546,Bike,3.7,973,Phoenix,PARTNER0355,True,LIC6810690
PARTNER0023,Zachary Jones,555-9263867,Bike,3.8,637,Chicago,PARTNER0243,False,LIC4699994
PARTNER0024,Melissa Moreno,555-6854184,Bike,3.7,439,Houston,PARTNER0016,False,LIC3774617
PARTNER0025,Sean Larson,555-6433029,Bike,4.3,228,New York,PARTNER0164,False,LIC7226180
PARTNER0026,Mr. Robert Anderson,555-9689459,Bike,1.6,289,Chicago,PARTNER0473,True,LIC5068560
PARTNER0027,Deborah Andrews,555-5815777,Bike,3.9,169,Phoenix,PARTNER0278,False,LIC3318317
PARTNER0028,Michelle Patterson,555-3257683,Van,5.0,704,New York,PARTNER0474,True,LIC1494107
PARTNER0029,Jason Tanner,555-8484042,Bike,3.5,149,Houston,PARTNER0132,True,LIC3530047
PARTNER0030,Jennifer Lopez,555-5143692,Car,1.8,841,New York,PARTNER0132,True,LIC1794010
PARTNER0031,David Scott,555-1772007,Car,1.5,524,Houston,PARTNER0313,True,LIC9526198
PARTNER0032,Andrew Miller,555-6042773,Van,1.5,290,New York,PARTNER0086,True,LIC7430439
